query,spotify_map,features_map,popularity_map,features_and_popularity_map,spotify_dcg,features_dcg,popularity_dcg,features_and_popularity_dcg,spotify_ndcg,features_ndcg,popularity_ndcg,features_and_popularity_ndcg,spotify_recall,features_recall,popularity_recall,features_and_popularity_recall
q=calming%20reading%20inacafe%20,0.5714285714285714,1.0,0.8666666666666667,1.0,3.4850344669600535,2.9484591188793923,2.0177825608059994,2.9484591188793923,0.9579534943578898,1.0,0.6843515475204855,1.0,0.5714285714285714,0.8333333333333334,0.5,0.8333333333333334
q=driving%20music%20in%20folk%20style%20for%20calming%20,0.6666666666666666,0.8666666666666667,0.3666666666666667,1.0,3.175019743578003,2.0177825608059994,0.8868528072345416,1.6309297535714575,0.9607686373130875,0.6843515475204855,0.30078518014914984,0.5531464700081437,0.6666666666666666,0.42857142857142855,0.2857142857142857,0.2857142857142857
q=electronic%20calming%20driving%20,0.5,0.8055555555555555,0.7000000000000001,0.7000000000000001,2.255392401744885,1.9306765580733931,1.8175293653079347,1.8175293653079347,0.6824871841548876,0.6548086577531307,0.6164336326286644,0.6164336326286644,0.5,0.5,0.5,0.5
q=folk%20sad%20studying%20,0.5,0.5833333333333333,0.5,0.5833333333333333,2.566611708871935,1.1309297535714575,1.0616063116448506,1.1309297535714575,0.7766628976189615,0.38356636737133565,0.36005461457723403,0.38356636737133565,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
q=intense%20workout%20playlist%20pop%20,0.5714285714285714,0.8041666666666667,0.7555555555555555,0.5888888888888889,3.4091960090910316,2.3175293653079345,1.8868528072345416,1.5177825608059992,0.9371072971649781,0.7860137352654724,0.639945385422766,0.5147714448836774,0.5714285714285714,0.6666666666666666,0.5,0.5
q=metal%20energetic%20studying%20,0.5,0.8333333333333333,0.6388888888888888,0.8055555555555555,2.8080998814132716,1.5,1.5616063116448506,1.9306765580733931,0.8497378014613878,0.5087403079104241,0.5296347172140421,0.6548086577531307,0.5,0.4,0.6,0.6
q=partying%20calming%20hip-hop%20,0.5,0.8041666666666667,0.7555555555555555,0.8041666666666667,2.46408456989589,2.3175293653079345,1.8868528072345416,2.3175293653079345,0.745637937915682,0.7860137352654724,0.639945385422766,0.7860137352654724,0.5,0.6666666666666666,0.5,0.6666666666666666
q=rock%20sad%20workout%20,0.4,0.5888888888888889,0.9166666666666666,0.8055555555555555,1.9556455972429492,1.5177825608059992,2.0616063116448506,1.9306765580733931,0.6632771622033622,0.5147714448836774,0.6992148198508501,0.6548086577531307,0.4,0.5,0.5,0.5
q=uplifting%20driving%20playlist%20reggae%20,0.7142857142857143,1.0,0.8041666666666667,0.8666666666666667,3.6201311827731435,2.1309297535714578,2.3175293653079345,2.0177825608059994,0.9950883841893561,0.7227265726449519,0.7860137352654724,0.6843515475204855,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.42857142857142855
q=working%20music%20in%20classical%20style%20for%20calming%20,0.5,0.95,1.0,1.0,2.865458153993785,2.5177825608059994,2.9484591188793923,2.9484591188793923,0.867094553178374,0.8539316501572937,1.0,1.0,0.5,0.5714285714285714,0.7142857142857143,0.7142857142857143
